Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,2011 JD32,33.707,68.148,8.7,20110519,341.2,208.5,106.5,12.9,0.338,50.928,( 63d),MPO 300648,5/1/2011,268,New Horizons KBO Search
,2011 JA32,29.523,91.968,9.8,20160113,331.7,127.4,236,3.2,0.514,60.746,2,MPO 256133,5/2/2011,268,New Horizons KBO Search
,2011 HK103,36.746,69.468,8.4,20160113,322,229,121.1,6.4,0.308,53.107,2,MPO 286663,4/28/2011,268,New Horizons KBO Search
,2011 HP83,36.07,69.432,5.6,20160113,14.1,208,12.2,28.6,0.316,52.751,2,MPO 233325,4/29/2011,809,
,2011 HO60,36.636,153,6.1,20160113,0.4,241.9,353.1,22.2,0.614,94.907,2,MPO 262253,4/26/2011,809,
,2011 GY61,35.139,66.205,6.5,20160113,3.1,236.4,319.7,0.8,0.307,50.672,2,MPO 235397,4/9/2011,809,
,2011 GN27,8.991,21.834,9.6,20110320,62,128,320.5,15.7,0.417,15.413,( 1d),MPO 196839,4/3/2011,809,
,2011 FX62,20.393,76.803,7.4,20160113,11.4,233.3,288.3,18.3,0.58,48.598,5,MPO 230280,3/28/2011,809,
,2011 FS53,6.176,9.069,13.6,20110320,35.6,134.3,5.6,6.3,0.19,7.623,( 6d),MPO 196832,3/31/2011,F51,Pan-STARRS 1
,2011 FY9,15.2,104,8.8,20160113,5.8,300.9,214.3,37.7,0.745,59.69,3,MPO 335250,3/27/2011,809,
,2011 AC72,11.233,40.972,10.9,20160113,7.2,23.4,119.3,13.8,0.57,26.103,4,MPO 335243,1/3/2011,G96,Mt. Lemmon Survey
,2010 XZ78,5.395,9.936,12.5,20160113,63.9,228.9,252.3,39.2,0.296,7.666,3,MPO 260816,12/4/2010,G96,Mt. Lemmon Survey
,2010 WG9,18.773,87.127,8.1,20160113,9.3,293.1,92.1,70.3,0.645,52.95,3,MPO 254803,11/30/2010,809,
,2010 VE21,7.612,10.584,12.4,20101031,71.9,79.4,227.3,45.6,0.163,9.098,( 3d),MPO 202497,11/3/2010,F51,Pan-STARRS 1
,2010 VX11,21.327,62.666,6.3,20101120,326.2,332.4,171.1,22.4,0.492,41.997,( 57d),MPO 202497,11/3/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 VW11,36.559,64.501,5.3,20160113,0.3,260,158.1,27.8,0.276,50.53,4,MPO 361168,11/3/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 TY53,21.002,56.806,5.6,20160113,320,3.4,111.4,22.5,0.46,38.904,5,MPO 349269,10/8/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 TR19,11.514,61.835,5.4,20101011,304.7,35.7,94.8,25.4,0.686,36.674,( 26d),MPO 202492,10/6/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 TJ,39.908,85.066,5,20160113,11.1,273.7,91.3,38.9,0.361,62.487,3,MPO 252093,10/2/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 TH,12.564,24.494,9.1,20160113,53.1,210.2,123.7,26.7,0.322,18.529,6,MPO 353645,10/2/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RE64,36.049,95.037,4.3,20160113,318.7,21.3,67.4,13.5,0.45,65.543,3,MPO 315251,9/9/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RM45,26.419,95.483,6.5,20101011,330.6,338.9,86,18.9,0.567,60.951,( 94d),MPO 227490,9/5/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 RG43,13.362,15.671,9.7,20100901,359.9,301.3,34.7,36.6,0.08,14.516,( 1d),MPO 183718,9/6/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 PU75,35.934,132,5.6,20160113,354.6,256.1,78.3,8.9,0.573,84.131,3,MPO 237403,8/6/2010,304,"A. Udalski, S. S. Sheppard, G. Pietrzynski, C. A. Trujillo"
,2010 PT66,35.472,88.162,6.2,20160113,13.6,203.2,108.8,18.5,0.426,61.817,3,MPO 283091,8/15/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 PL66,13.035,29.182,8.3,20160113,284.7,96.8,8.5,24.4,0.382,21.108,3,MPO 301660,8/14/2010,809,"D. L. Rabinowitz, M. Schwamb, S. Tourtellotte"
,2010 LN68,12.312,12.86,9.2,20100613,360,138.2,92.6,15.1,0.022,12.586,( 1d),MPO 178241,6/13/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 LO33,15.074,33.153,8.1,20160113,332.7,81.4,241.1,17.8,0.375,24.114,(100d),MPO 183310,6/7/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 JJ124,23.615,145,6.6,20160113,1.5,339,268.8,37.8,0.72,84.302,2,MPO 200859,5/11/2010,304,"A. Udalski, S. S. Sheppard, C. A. Trujillo"
,2010 JC80,31.515,79.512,5.9,20160113,349.4,216.5,50.9,3.1,0.432,55.514,3,MPO 339439,5/12/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 JB80,10.296,15.517,11.7,20100524,5.6,184.8,21,17.8,0.202,12.906,( 57d),MPO 180051,5/11/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 HM23,15.251,18.081,10.5,20100414,359.9,336.6,251.1,6.9,0.085,16.666,( 1d),MPO 176884,4/20/2010,304,S. S. Sheppard
,2010 GB174,48.719,694,6.5,20160113,3.2,347.8,130.6,21.5,0.869,371,4,MPO 262140,4/12/2010,568,
,2010 GW147,5.381,334,13.2,20160113,1.1,50.1,313.3,99.6,0.968,170,3,MPO 297894,4/14/2010,C51,WISE
,2010 GF65,22.137,44.715,7.2,20160113,336.6,284.4,0.4,12.4,0.338,33.426,3,MPO 297894,4/14/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 GX34,16.572,41.059,8.2,20160113,352,356.2,279.1,11.6,0.425,28.815,3,MPO 233298,4/9/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 FH92,5.771,42.921,11.4,20160113,17.4,313.8,280.1,61.9,0.763,24.346,3,MPO 315248,3/17/2010,C51,WISE
,2010 FE49,33.627,74.971,6.5,20160113,10.2,131.3,58,11.7,0.381,54.299,4,MPO 346246,3/19/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 FD49,31.937,80.046,6.3,20160113,0.2,141.9,66.4,10.7,0.43,55.992,5,MPO 339438,3/19/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 FB49,18.286,26.918,7.5,20160113,205.2,170.8,184.8,24.3,0.191,22.602,3,MPO 228745,3/17/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 EK139,32.574,107,3.8,20160113,346,284.3,346.1,29.4,0.534,69.939,5,MPO 206188,3/13/2010,304,"A. Udalski, S. S. Sheppard, M. Kubiak, C. A. Trujillo"
,2010 EU65,18.167,20.241,9.1,20100414,0.4,180.8,4.6,14.8,0.054,19.204,( 85d),MPO 178178,3/13/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 ET65,39.627,86.158,5.2,20160113,1.7,354,189.6,30.5,0.37,62.893,6,MPO 237402,3/13/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
,2010 ES65,9.484,34.088,12,20160113,24.8,238.8,273.3,10.4,0.565,21.786,4,MPO 293162,3/12/2010,809,"D. L. Rabinowitz, S. Tourtellotte"
